neighbourhood_name,latitude,longitude,room_type,bathrooms,bedrooms,price,last_review_date,review_scores_rating,country,city,insert_date,PUBLICADO_POR
Ciutadella de menorca,40.00068,3.80093,Casa o Departamento,3.0,4.0,150.0,28-01-2020,87.0,España,Menorca,30-04-2020,Agoda
Palamós,41.86148,3.14657,Casa o Departamento,1.0,0.0,185.0,,nan,España,Girona,30-03-2019,Homeaway
Alcúdia,39.83439,3.12053,Habitación de hotel,1.0,1.0,179.0,03-09-2019,90.0,España,Mallorca,19-09-2020,Flipkey
Roses,42.26407,3.15472,Casa o Departamento,1.0,nan,40.0,09-09-2020,91.0,España,Girona,28-10-2020,Flipkey
Sol,40.41842909843505,-3.7030908099001865,Casa o Departamento,1.0,2.0,169.0,11-11-2018,80.0,España,Madrid,14-01-2019,Agoda
Begur,41.9578,3.20678,Casa o Departamento,1.0,2.0,45.0,07-10-2019,100.0,España,Girona,31-01-2020,Airbnb
El raval,41.3822198768391,2.1716500980220794,Habitación privada,1.0,1.0,55.0,27-09-2018,96.0,España,Barcelona,10-10-2018,Airbnb
Sant francesc,39.47221,-0.37651,Casa o Departamento,2.0,1.0,135.0,10-12-2019,nan,España,Valencia,31-12-2019,Booking
Centro,36.71600612410992,-4.422523075192211,Habitación compartida,2.0,1.0,14.0,06-05-2018,95.0,España,Malaga,29-08-2018,Expedia
El raval,41.37793955821097,2.1666983403622067,Habitación privada,1.0,1.0,28.0,14-11-2016,86.0,España,Barcelona,08-04-2017,Airbnb
Sant antoni,41.37536581039863,2.160923089633858,Casa o Departamento,2.0,2.0,136.0,,nan,España,Barcelona,06-07-2017,Flipkey
Sa pobla,39.81424305244891,3.022846858676941,Casa o Departamento,3.0,3.0,127.0,,nan,España,Mallorca,21-08-2018,Homeaway
Palacio,40.42092399948137,-3.709205016587058,Casa o Departamento,1.0,0.0,55.0,20-08-2018,93.0,España,Madrid,11-09-2018,Agoda
Begur,41.96901,3.20629,Casa o Departamento,1.0,2.0,222.0,,nan,España,Girona,30-04-2020,Homeaway
Piovera,40.45665883448246,-3.626350410321869,Casa o Departamento,1.0,1.0,60.0,06-03-2017,96.0,España,Madrid,08-04-2017,Expedia
Justicia,40.4201749851276,-3.70014295759372,Habitación privada,4.0,1.0,25.0,03-09-2018,96.0,España,Madrid,11-09-2018,Tripadvisor
Universidad,40.42404011357097,-3.711032994281578,Casa o Departamento,3.0,2.0,135.0,02-06-2015,60.0,España,Madrid,08-04-2017,Airbnb
Sol,40.41987,-3.70373,Casa o Departamento,1.0,1.0,51.0,09-09-2020,93.0,España,Madrid,12-01-2021,Tripadvisor
Este,36.72243,-4.36746,Casa o Departamento,1.0,1.0,55.0,23-02-2020,95.0,España,Malaga,30-10-2020,Agoda
Vilapicina i la torre llobeta,41.42949,2.16795,Habitación privada,1.0,1.0,50.0,17-09-2018,96.0,España,Barcelona,16-03-2020,Expedia
Embajadores,40.41109,-3.70232,Casa o Departamento,1.0,1.0,25.0,16-01-2020,84.0,España,Madrid,18-02-2020,Expedia
Sóller,39.77485,2.72606,Casa o Departamento,3.0,5.0,435.0,14-04-2018,100.0,España,Mallorca,29-01-2020,Flipkey
San bartolomé,37.38576,-5.98679,Habitación privada,1.0,1.0,23.0,12-07-2020,100.0,España,Sevilla,31-01-2021,Tripadvisor
Feria,37.39676,-5.99415,Habitación privada,2.0,1.0,35.0,24-02-2020,95.0,España,Sevilla,30-04-2020,Tripadvisor
El poble sec,41.37384246746563,2.161514198077976,Casa o Departamento,1.0,2.0,50.0,08-01-2018,94.0,España,Barcelona,17-01-2018,Kayak
Campos,39.40569440247255,3.017391044289659,Habitación privada,1.0,1.0,60.0,15-05-2018,100.0,España,Mallorca,17-10-2018,Homeaway
Concepción,40.43232,-3.65655,Habitación privada,1.0,1.0,18.0,01-12-2017,nan,España,Madrid,06-11-2020,Agoda
La salut,41.41071,2.15139,Habitación privada,1.0,1.0,37.0,14-07-2019,70.0,España,Barcelona,16-10-2019,Airbnb
El poble sec,41.37441,2.15596,Habitación privada,2.0,1.0,33.0,01-10-2019,100.0,España,Barcelona,11-05-2020,Agoda
Alcúdia,39.83375,3.10918,Casa o Departamento,2.0,3.0,58.0,02-11-2019,97.0,España,Mallorca,22-03-2020,Tripadvisor
Les corts,41.39008284253251,2.138701544683545,Habitación privada,1.0,1.0,57.0,03-03-2017,97.0,España,Barcelona,06-03-2017,Airbnb
La nova esquerra de l'eixample,41.379630880760985,2.1499255952522223,Habitación privada,1.0,2.0,58.0,15-04-2017,88.0,España,Barcelona,07-05-2017,Agoda
Palma de mallorca,39.559836897500055,2.6227859627645715,Casa o Departamento,2.0,2.0,99.0,16-10-2018,92.0,España,Mallorca,17-10-2018,Agoda
Sol,40.41736362454626,-3.7068648051919335,Habitación privada,2.0,1.0,36.0,,nan,España,Madrid,08-04-2017,Homeaway
Torroella de montgrí,42.0514,3.19791,Casa o Departamento,1.0,2.0,165.0,,nan,España,Girona,29-05-2019,Tripadvisor
Ibiza,40.4174145207843,-3.673663497750422,Casa o Departamento,1.0,2.0,65.0,12-08-2018,90.0,España,Madrid,14-08-2018,Airbnb
Embajadores,40.40663,-3.70028,Casa o Departamento,1.0,2.0,100.0,19-01-2019,93.0,España,Madrid,11-04-2019,Tripadvisor
Manacor,39.53365,3.18782,Casa o Departamento,1.0,2.0,231.0,,nan,España,Mallorca,27-05-2019,Kayak
Russafa,39.46316,-0.3743,Casa o Departamento,1.0,1.0,71.0,19-11-2019,100.0,España,Valencia,19-01-2021,Agoda
Centro,36.72865,-4.42119,Casa o Departamento,1.0,4.0,41.0,,nan,España,Malaga,30-05-2019,Airbnb
Pinar del rey,40.47266,-3.65492,Casa o Departamento,2.0,3.0,200.0,18-01-2020,96.0,España,Madrid,18-02-2020,Tripadvisor
Universidad,40.4266,-3.71058,Habitación privada,1.0,1.0,37.0,09-11-2019,91.0,España,Madrid,10-12-2019,Kayak
Palacio,40.41341,-3.71356,Casa o Departamento,1.0,1.0,90.0,19-01-2020,93.0,España,Madrid,17-04-2020,Tripadvisor
Begur,41.94729,3.20216,Casa o Departamento,2.0,4.0,99.0,30-09-2019,93.0,España,Girona,30-11-2019,Kayak
La font de la guatlla,41.37277413390832,2.146546634303942,Casa o Departamento,1.0,3.0,60.0,02-11-2017,95.0,España,Barcelona,09-12-2017,Booking
Sant antoni,41.382,2.16162,Casa o Departamento,1.0,2.0,350.0,17-06-2019,83.0,España,Barcelona,10-07-2019,Flipkey
Los remedios,37.37805,-5.99816,Habitación privada,2.0,1.0,28.0,14-05-2019,86.0,España,Sevilla,29-06-2019,Agoda
Universidad,40.42929,-3.7075,Habitación privada,2.0,1.0,18.0,,nan,España,Madrid,09-02-2021,Agoda
La xerea,39.4736,-0.37223,Casa o Departamento,1.0,0.0,35.0,30-06-2019,96.0,España,Valencia,01-07-2019,Agoda
Andratx,39.554881431216565,2.3825232165693304,Casa o Departamento,1.0,0.0,79.0,02-07-2018,90.0,España,Mallorca,21-08-2018,Booking
Arenal,37.388622655885634,-5.9989726385105495,Casa o Departamento,2.0,3.0,125.0,01-08-2018,93.0,España,Sevilla,27-08-2018,Homeaway
San diego,37.41236,-5.9675,Habitación privada,1.0,1.0,26.0,02-11-2020,91.0,España,Sevilla,30-11-2020,Expedia
Sant francesc,39.46793,-0.37506,Habitación privada,2.0,1.0,15.0,01-07-2019,92.0,España,Valencia,31-07-2019,Expedia
El poble sec,41.37478,2.17298,Habitación privada,1.0,1.0,28.0,13-12-2019,nan,España,Barcelona,10-01-2020,Homeaway
Nou moles,39.47272,-0.40059,Habitación privada,1.0,1.0,16.0,21-05-2019,100.0,España,Valencia,01-09-2019,Expedia
Ibiza,40.4176828454878,-3.6743275264636135,Habitación privada,1.0,1.0,26.0,19-11-2016,99.0,España,Madrid,06-03-2017,Expedia
Manacor,39.56368,3.372,Casa o Departamento,2.0,3.0,157.0,08-10-2018,86.0,España,Mallorca,31-12-2019,Kayak
Entrevías,40.37816,-3.66514,Habitación privada,1.0,1.0,18.0,03-03-2019,83.0,España,Madrid,08-03-2019,Kayak
Ciutadella de menorca,40.00219,3.79929,Casa o Departamento,1.0,1.0,180.0,30-10-2019,90.0,España,Menorca,30-11-2019,Booking
Arenal,37.38658,-5.99849,Habitación de hotel,1.0,1.0,70.0,12-11-2018,80.0,España,Sevilla,27-02-2021,Kayak
El clot,41.406284583705705,2.184885832122516,Habitación privada,1.0,1.0,35.0,05-08-2018,96.0,España,Barcelona,14-08-2018,Booking
Palafrugell,41.8833,3.17878,Casa o Departamento,1.0,2.0,44.0,23-10-2020,93.0,España,Girona,28-10-2020,Expedia
El barri gòtic,41.38238,2.17465,Habitación privada,1.0,1.0,110.0,08-03-2020,88.0,España,Barcelona,13-06-2020,Tripadvisor
Manacor,39.53843,3.33112,Habitación de hotel,1.0,1.0,137.0,06-11-2019,92.0,España,Mallorca,29-02-2020,Airbnb
Este,36.72303187799375,-4.347630480845384,Casa o Departamento,1.0,1.0,50.0,,nan,España,Malaga,25-10-2018,Kayak
Palafrugell,41.89412196696004,3.1944782323690144,Casa o Departamento,3.0,3.0,65.0,02-04-2018,80.0,España,Girona,26-11-2018,Expedia
Universidad,40.42408890630344,-3.702705531026552,Habitación privada,1.0,1.0,45.0,02-11-2018,94.0,España,Madrid,06-02-2019,Tripadvisor
La sagrera,41.42039,2.18826,Casa o Departamento,2.0,4.0,67.0,,nan,España,Barcelona,06-11-2020,Kayak
Ciutat jardi,39.47354,-0.34748,Habitación privada,1.0,1.0,35.0,17-08-2018,nan,España,Valencia,01-07-2019,Tripadvisor
Sant gervasi - galvany,41.39924,2.14649,Casa o Departamento,3.0,3.0,369.0,31-03-2018,93.0,España,Barcelona,07-06-2019,Booking
Torroella de montgrí,42.0522,3.19716,Casa o Departamento,1.0,1.0,36.0,,nan,España,Girona,29-06-2020,Agoda
La vila de gràcia,41.40216,2.16243,Habitación privada,1.0,1.0,34.0,,nan,España,Barcelona,16-10-2019,Homeaway
Sants - badal,41.37151,2.12954,Casa o Departamento,1.0,1.0,54.0,,nan,España,Barcelona,10-04-2019,Expedia
Lloseta,39.72215,2.886,Casa o Departamento,4.0,4.0,415.0,22-05-2019,80.0,España,Mallorca,11-02-2021,Kayak
Centro,36.71551407057952,-4.423248728076683,Habitación compartida,2.0,1.0,14.0,04-05-2018,96.0,España,Malaga,27-05-2018,Kayak
La vila de gràcia,41.39950835072047,2.156176184484059,Casa o Departamento,1.0,2.0,75.0,,nan,España,Barcelona,09-12-2017,Tripadvisor
La maternitat i sant ramon,41.37726,2.11757,Habitación privada,1.0,1.0,25.0,03-12-2018,90.0,España,Barcelona,10-07-2019,Tripadvisor
El poble sec,41.37325,2.16702,Habitación privada,1.0,1.0,8.0,03-02-2019,93.0,España,Barcelona,08-03-2019,Homeaway
Alcúdia,39.81667,3.11451,Casa o Departamento,2.0,4.0,170.0,23-09-2018,100.0,España,Mallorca,22-03-2020,Flipkey
Pollença,39.8907,3.05385,Casa o Departamento,3.0,5.0,425.0,24-06-2017,80.0,España,Mallorca,28-11-2019,Homeaway
L'escala,42.12473,3.13391,Habitación de hotel,1.0,1.0,75.0,,nan,España,Girona,30-04-2020,Expedia
Palacio,40.41094,-3.71189,Casa o Departamento,2.0,3.0,131.0,12-03-2020,87.0,España,Madrid,09-02-2021,Tripadvisor
Santa margalida,39.74961,3.14279,Casa o Departamento,2.0,2.0,100.0,06-01-2019,100.0,España,Mallorca,17-02-2019,Expedia
Calvià,39.50884,2.5343,Casa o Departamento,1.0,1.0,57.0,17-09-2019,96.0,España,Mallorca,28-10-2019,Tripadvisor
Embajadores,40.40871,-3.70075,Habitación privada,1.0,1.0,35.0,08-09-2019,100.0,España,Madrid,19-09-2019,Homeaway
Santanyí,39.3642549495481,3.190951515818427,Casa o Departamento,3.0,3.0,220.0,,nan,España,Mallorca,18-09-2018,Kayak
El botanic,39.4779,-0.38605,Casa o Departamento,1.0,2.0,65.0,28-08-2019,85.0,España,Valencia,01-09-2019,Flipkey
Sol,40.41605218231659,-3.704844782423702,Casa o Departamento,1.0,2.0,100.0,05-01-2018,96.0,España,Madrid,17-01-2018,Flipkey
Castilla,40.47325434385747,-3.6859265386670783,Habitación privada,2.0,1.0,18.0,10-07-2018,nan,España,Madrid,10-07-2018,Expedia
Benicalap,39.49365,-0.39744,Casa o Departamento,1.0,1.0,47.0,25-03-2020,94.0,España,Valencia,30-08-2020,Flipkey
"León xiii, los naranjos",37.40371,-5.98247,Casa o Departamento,1.0,1.0,56.0,24-08-2020,90.0,España,Sevilla,31-12-2020,Flipkey
Universidad,40.42175945596221,-3.701876078685904,Habitación privada,1.0,1.0,45.0,02-09-2018,85.0,España,Madrid,11-09-2018,Tripadvisor
Carretera de cadiz,36.6974,-4.45663,Habitación privada,1.0,1.0,35.0,20-06-2019,97.0,España,Malaga,30-06-2019,Expedia
Sant feliu de buixalleu,41.756624520687495,2.5639213894880286,Habitación privada,3.0,5.0,25.0,23-09-2018,91.0,España,Girona,20-10-2018,Airbnb
El poble sec,41.37456,2.15469,Habitación privada,2.0,1.0,45.0,15-10-2019,91.0,España,Barcelona,09-11-2019,Agoda
Alcúdia,39.85305,3.12457,Casa o Departamento,2.0,3.0,110.0,,nan,España,Mallorca,19-09-2020,Booking
Simancas,40.4307,-3.62727,Habitación privada,1.0,1.0,13.0,,nan,España,Madrid,09-11-2019,Booking
El congrés i els indians,41.42584428556787,2.1804447532061664,Habitación privada,1.0,1.0,50.0,,nan,España,Barcelona,07-05-2017,Agoda
Sant gervasi - galvany,41.397325295455474,2.152583068033303,Casa o Departamento,1.0,2.0,90.0,31-10-2018,73.0,España,Barcelona,10-12-2018,Booking
Palacio,40.40864,-3.71198,Habitación privada,1.0,1.0,25.0,,nan,España,Madrid,14-05-2020,Tripadvisor
Manacor,39.532,3.24847,Casa o Departamento,4.0,4.0,300.0,07-07-2018,100.0,España,Mallorca,16-01-2021,Homeaway
"Encarnación, regina",37.39590253845665,-5.994856714001662,Casa o Departamento,1.0,1.0,60.0,20-09-2018,91.0,España,Sevilla,22-09-2018,Booking
Blanes,41.67488,2.80075,Casa o Departamento,3.0,4.0,120.0,30-07-2020,98.0,España,Girona,28-10-2020,Expedia
"León xiii, los naranjos",37.40317,-5.98387,Habitación privada,1.0,1.0,15.0,06-11-2018,97.0,España,Sevilla,29-07-2019,Homeaway
Algaida,39.56406,2.88524,Casa o Departamento,2.0,2.0,93.0,,nan,España,Mallorca,29-01-2020,Airbnb
Palma de mallorca,39.55165,2.61048,Casa o Departamento,1.0,1.0,44.0,16-11-2019,80.0,España,Mallorca,29-02-2020,Tripadvisor
Torroella de montgrí,42.04895,3.1915,Casa o Departamento,1.0,2.0,45.0,25-08-2018,90.0,España,Girona,19-02-2019,Flipkey
Chopera,40.39362,-3.69665,Casa o Departamento,1.0,2.0,60.0,20-02-2019,91.0,España,Madrid,08-03-2019,Airbnb
Embajadores,40.40619096493294,-3.701750070039445,Casa o Departamento,2.0,2.0,77.0,,nan,España,Madrid,10-10-2018,Tripadvisor
Russafa,39.46269,-0.37818,Casa o Departamento,1.0,1.0,60.0,27-12-2019,97.0,España,Valencia,31-12-2019,Expedia
San diego,40.39764,-3.66896,Casa o Departamento,1.0,1.0,29.0,24-02-2020,87.0,España,Madrid,17-03-2020,Expedia
Pradolongo,40.38025,-3.70887,Casa o Departamento,12.0,50.0,25.0,,nan,España,Madrid,07-06-2019,Expedia
Calvià,39.52787393886516,2.5403156732034096,Casa o Departamento,2.0,6.0,299.0,16-08-2018,90.0,España,Mallorca,21-08-2018,Expedia
Sant antoni,41.38126,2.16015,Casa o Departamento,3.0,5.0,127.0,29-09-2019,89.0,España,Barcelona,16-10-2019,Expedia
Lloret de mar,41.70169,2.85147,Casa o Departamento,2.0,4.0,199.0,16-07-2017,80.0,España,Girona,29-07-2019,Homeaway
Selva,39.7768,2.93485,Casa o Departamento,2.0,3.0,110.0,29-08-2020,86.0,España,Mallorca,21-10-2020,Flipkey
Puigpunyent,39.62886,2.52957,Casa o Departamento,1.0,2.0,65.0,26-09-2019,99.0,España,Mallorca,28-09-2019,Flipkey
La sagrada família,41.40438,2.18161,Habitación privada,1.0,1.0,14.0,30-04-2020,99.0,España,Barcelona,12-01-2021,Tripadvisor
Palma de mallorca,39.57052,2.64771,Habitación privada,1.0,1.0,80.0,,nan,España,Mallorca,23-04-2020,Airbnb
Fontanals de cerdanya,42.39389,1.92133,Casa o Departamento,3.0,3.0,250.0,17-11-2019,96.0,España,Girona,28-05-2020,Tripadvisor
Palma de mallorca,39.578309294941896,2.640253967524962,Habitación compartida,2.0,1.0,42.0,14-10-2018,90.0,España,Mallorca,17-10-2018,Agoda
Russafa,39.45918,-0.3721,Casa o Departamento,1.0,3.0,195.0,01-03-2020,79.0,España,Valencia,31-05-2020,Kayak
El putxet i el farró,41.40906,2.14003,Casa o Departamento,1.0,1.0,100.0,31-07-2018,80.0,España,Barcelona,16-04-2020,Kayak
Castelló d'empúries,42.25453,3.10726,Casa o Departamento,1.0,2.0,65.0,,nan,España,Girona,31-08-2019,Homeaway
Castelló d'empúries,42.24653,3.12749,Casa o Departamento,2.0,2.0,73.0,,nan,España,Girona,31-12-2020,Airbnb
La trinitat nova,41.44855,2.1801,Habitación privada,1.0,1.0,21.0,07-03-2020,95.0,España,Barcelona,24-08-2020,Booking
Goya,40.42829,-3.67472,Casa o Departamento,1.0,2.0,90.0,21-04-2018,83.0,España,Madrid,18-02-2020,Airbnb
Pollença,39.87692,3.01375,Casa o Departamento,2.0,3.0,158.0,,nan,España,Mallorca,16-01-2021,Tripadvisor
Sant lluís,39.82328,4.23463,Casa o Departamento,3.0,4.0,350.0,,nan,España,Menorca,31-05-2020,Flipkey
Centro,36.71958,-4.42222,Casa o Departamento,1.0,1.0,55.0,26-12-2019,93.0,España,Malaga,30-11-2020,Agoda
San gil,37.40184,-5.9872,Casa o Departamento,1.0,1.0,200.0,12-05-2019,94.0,España,Sevilla,29-11-2019,Flipkey
Cortes,40.41317,-3.696,Casa o Departamento,1.0,nan,41.0,25-10-2020,87.0,España,Madrid,09-02-2021,Flipkey
La nova esquerra de l'eixample,41.3826,2.1567,Habitación privada,2.0,1.0,15.0,18-02-2020,91.0,España,Barcelona,16-04-2020,Booking
L'armentera,42.17325,3.07602,Casa o Departamento,3.0,4.0,190.0,27-07-2019,91.0,España,Girona,28-05-2020,Expedia
El guinardó,41.41463142268769,2.1787696009167297,Habitación privada,2.0,1.0,29.0,12-08-2018,99.0,España,Barcelona,14-08-2018,Airbnb
Tossa de mar,41.72063,2.92813,Casa o Departamento,2.0,2.0,70.0,13-04-2017,97.0,España,Girona,31-12-2019,Kayak
Lloret de mar,41.70166,2.84733,Casa o Departamento,1.0,3.0,84.0,05-05-2019,80.0,España,Girona,29-05-2019,Flipkey
Llançà,42.38496,3.15368,Casa o Departamento,1.0,2.0,75.0,25-08-2018,80.0,España,Girona,19-02-2019,Flipkey
Lloseta,39.70892,2.86949,Casa o Departamento,1.0,3.0,110.0,30-07-2019,99.0,España,Mallorca,31-08-2019,Expedia
Pontós,42.18938977440307,2.919399989077701,Casa o Departamento,1.0,2.0,90.0,,nan,España,Girona,30-08-2018,Homeaway
El raval,41.37629,2.17297,Habitación privada,1.0,1.0,60.0,23-05-2019,90.0,España,Barcelona,07-06-2019,Homeaway
Centro,36.72402927725186,-4.422862251339626,Casa o Departamento,1.0,2.0,90.0,31-08-2018,93.0,España,Malaga,29-09-2018,Kayak
Sóller,39.76671,2.70625,Casa o Departamento,1.0,2.0,135.0,15-03-2020,98.0,España,Mallorca,19-09-2020,Agoda
San gil,37.40184,-5.9872,Casa o Departamento,1.0,1.0,200.0,12-05-2019,94.0,España,Sevilla,31-12-2019,Agoda
Portazgo,40.39097584659968,-3.653142002575109,Habitación privada,2.0,1.0,35.0,,nan,España,Madrid,17-01-2018,Expedia
Universidad,40.42186,-3.70258,Casa o Departamento,1.0,1.0,94.0,06-11-2019,75.0,España,Madrid,09-11-2019,Homeaway
Begur,41.973,3.2113,Casa o Departamento,1.0,2.0,106.0,22-08-2020,100.0,España,Girona,28-10-2020,Kayak
Este,36.72158450315861,-4.362495631835721,Habitación privada,1.0,1.0,27.0,28-09-2017,100.0,España,Malaga,31-07-2018,Expedia
Blanes,41.67792255649827,2.8006338470519845,Casa o Departamento,4.0,4.0,500.0,28-07-2018,100.0,España,Girona,30-08-2018,Expedia
El poble sec,41.37392,2.16837,Habitación privada,2.0,1.0,24.0,01-06-2019,98.0,España,Barcelona,10-07-2019,Kayak
Pals,41.99739,3.18923,Casa o Departamento,2.0,2.0,114.0,,nan,España,Girona,26-03-2020,Booking
Sa pobla,39.78593004156785,3.0207333548422626,Casa o Departamento,3.0,4.0,235.0,,nan,España,Mallorca,20-11-2018,Airbnb
Capdepera,39.67438,3.41557,Casa o Departamento,4.0,5.0,nan,,nan,España,Mallorca,28-08-2020,Expedia
Felanitx,39.44302,3.13995,Casa o Departamento,2.0,3.0,137.0,25-08-2018,80.0,España,Mallorca,27-06-2019,Agoda
Trafalgar,40.437,-3.6997,Habitación privada,1.0,1.0,33.0,12-05-2019,98.0,España,Madrid,07-06-2019,Kayak
La nova esquerra de l'eixample,41.37935,2.14895,Casa o Departamento,2.0,3.0,nan,,nan,España,Barcelona,17-09-2019,Expedia
Begur,41.96779736271009,3.208585848795854,Casa o Departamento,4.0,5.0,200.0,,nan,España,Girona,30-08-2018,Airbnb
Sol,40.41761,-3.70645,Casa o Departamento,2.0,2.0,120.0,28-06-2019,91.0,España,Madrid,12-08-2019,Agoda
Sant antoni,41.37826,2.15766,Habitación privada,1.0,0.0,16.0,,nan,España,Barcelona,07-06-2019,Airbnb
"Colores, entreparques",37.39976,-5.92368,Habitación privada,2.0,2.0,59.0,07-11-2019,90.0,España,Sevilla,29-11-2019,Kayak
Diagonal mar i el front marítim del poblenou,41.405716513728585,2.2163440239050773,Casa o Departamento,2.0,2.0,200.0,08-08-2018,97.0,España,Barcelona,07-11-2018,Tripadvisor
Sóller,39.767203955635246,2.718514351859529,Casa o Departamento,4.0,4.0,200.0,09-11-2018,99.0,España,Mallorca,20-11-2018,Airbnb
Porta,41.43106742717214,2.1793436710276364,Habitación privada,1.0,1.0,20.0,25-04-2017,90.0,España,Barcelona,17-01-2018,Tripadvisor
Puigpunyent,39.62351054480437,2.495147195631876,Casa o Departamento,1.0,2.0,100.0,13-07-2018,91.0,España,Mallorca,21-08-2018,Kayak
Lloret de mar,41.70083,2.8536,Casa o Departamento,2.0,3.0,90.0,27-10-2019,91.0,España,Girona,29-06-2020,Flipkey
